"Reference","Qty","Manufacturer","Part","Value"
"C1,C2,C3,C4,C6,C7,C8,C9,C10,C11,C13,C14,C15,C16,C17,C18,C19,C20,C21,C26,C27,C28,C100,C101,C102,C103,C104,C105,C106,C107,C108,C109,C110,C111,C112,C113,C114,C115,C116,C117,C118,C119,C120,C121,C122,C123,C124,C125,C126,C127,C128,C129,C130,C131,C132,C133,C134,C135,C136,C137,C138,C139,C140,C141,C142,C143,C144,C145,C146,C147,C148,C149,C150,C151,C152,C153,C154,C155,C156,C157,C158,C159,C160,C161,C162,C163,C164,C165,C166,C167,C168,C169,C170,C171,C172,C173,C174,C175,C176,C177,C178,C179,C180,C181,C182,C183,C184,C185,C186,C187,C188,C189,C190,C191,C192,C194,C195","117","Samsung Electro-Mechanics","CL05A106MQ5NUNC","10uF"
"C23,C24","2","FH(Guangdong Fenghua Advanced Tech)","0402CG270J500NT","27pF"
"C36,C37","2","Murata Electronics","GRM0335C1H1R4BA01D","1.4pF"
"C5,C12,C33","3","APAQ Tech","6R3AVCA221M0645E20","220uF"
"D1","1","hongjiacheng","MMSZ5227B","MMSZ5227B"
"D100,D101,D102,D103,D104,D105,D106,D107,D108,D109,D110,D111,D112,D113,D114,D115,D116,D117,D118,D119,D120,D121,D122,D123,D124,D125,D126,D127,D128,D129,D130,D131,D132,D133,D134,D135,D136,D137,D138,D139,D140,D141,D142,D143,D144,D145,D146,D147,D148,D149,D150,D151,D152,D153,D154,D155,D156,D157,D158,D159,D160,D161,D162,D163,D164,D165,D166,D167,D168,D169,D170,D171,D172,D173,D174,D175,D176,D177,D178,D179,D180,D181,D182,D183,D184,D185,D186,D187,D188,D189,D190,D191,D192,D193,D194,D195,D196,D197,D198,D199,D200,D201,D202,D203,D204,D205,D206,D207,D208,D209,D210,D211,D212,D213,D214,D215,D216,D217,D218,D219,D220,D221,D222,D223,D224,D225,D226,D227,D228,D229,D230,D231,D232,D233,D234,D235,D236,D237,D238,D239,D240,D241,D242,D243,D244,D245,D246,D247,D248,D249,D250,D251,D252,D253,D254,D255,D256,D257,D258,D259,D260,D261,D262,D263,D264,D265,D266,D267,D268,D269,D270,D271,D272,D273,D274,D275,D276,D277,D278,D279,D280,D281,D282,D283,D284,D285,D286,D287,D288,D289,D290,D291,D292,D293,D294,D295,D296,D297,D298,D299,D300,D301,D302,D303,D304,D305,D306,D307,D308,D309,D310,D311,D312,D313,D314,D315,D316,D400,D401,D402,D403,D404,D405,D406,D407,D408,D409,D410,D411,D412,D413,D414,D415,D416,D417,D418,D419,D420,D421,D422,D423,D424,D425,D426,D427,D428,D429,D430,D431,D432,D433,D434,D435,D436,D437,D438,D439,D440,D441,D442,D443,D444,D445,D446,D447,D448,D449,D450,D451,D452,D453,D454,D455,D456,D457,D458,D459,D460,D461,D462,D463,D464,D465,D466,D467,D468,D469,D470,D471,D472,D473,D474,D475,D476,D477,D478,D479,D480,D481,D482,D483,D484,D485,D486,D487,D488,D489,D490,D491,D492,D493,D494,D495,D496,D497,D498,D499,D500,D501,D502,D503,D504,D505,D506,D507,D508,D509,D510,D511,D512,D513,D514,D515,D516,D517,D518,D519,D520,D521,D522,D523,D524,D525,D526,D527,D528,D529,D530,D531,D532,D533,D534,D535,D536,D537,D538,D539,D540,D541,D542,D543,D544,D545,D546,D547,D548,D549,D600,D601,D602,D603,D604,D605,D606,D607,D608,D609,D610,D611,D612,D613,D614,D615,D616,D617,D618,D619,D620,D621,D622,D623,D624,D625,D626,D627,D628,D629,D630,D631,D632,D633,D634,D635,D636,D637,D638,D639,D640,D641,D642,D643,D644,D645,D646,D647,D648,D649,D650,D651,D652,D653,D654,D655,D656,D657,D658,D659,D660,D661,D662,D663,D664,D665,D666,D667,D668,D669,D670,D671,D672,D673,D674,D675,D676,D677,D678,D679,D680,D681,D682,D683,D684,D685,D686,D687,D688,D689,D690,D691,D692,D693,D694,D695,D696,D697,D698,D699,D700,D701,D702,D703,D704,D705,D706,D707,D708,D709,D710,D711,D712,D713,D714,D715,D716,D717,D718,D719,D720,D721,D722,D723,D724,D725,D726,D727,D728,D729,D730,D731,D732,D733,D734,D735,D736,D737,D738,D739,D740,D741,D742,D743,D744,D745,D746,D747,D748,D749,D750,D751,D752,D753,D800,D801,D802,D803,D804,D805,D806,D807,D808,D809,D810,D811,D812,D813,D814,D815,D816,D817,D818,D819,D820,D821,D822,D823,D824,D825,D826,D827,D828,D829,D830,D831,D832,D833,D834,D835,D836,D837,D838,D839,D840,D841,D842,D843,D844,D845,D846,D847,D848,D849,D850,D851,D852,D853,D854,D855,D856,D857,D858,D859,D860,D861,D862,D863,D864,D865,D866,D867,D868,D869,D870,D871,D872,D873,D874,D875,D876,D877,D878,D879,D880,D881,D882,D883,D884,D885,D886,D887,D888,D889,D890,D891,D892,D893,D894,D895,D896,D897,D898,D899,D900,D901,D902,D903,D904,D905,D906,D907,D908,D909,D910,D911,D912,D913,D914,D915,D916,D917,D918,D919,D920,D921,D922,D923,D924,D925,D926,D927,D928,D929,D930,D931,D932,D933,D934,D935,D936,D937,D938,D939,D940,D941,D942,D943,D944,D945,D946,D1000,D1001,D1002,D1003,D1004,D1005,D1006,D1007,D1008,D1009,D1010,D1011,D1012,D1013,D1014,D1015,D1016,D1017,D1018,D1019,D1020,D1021,D1022,D1023,D1024,D1025,D1026,D1027,D1028,D1029,D1030,D1031,D1032,D1033,D1034,D1035,D1036,D1037,D1038,D1039,D1040,D1041,D1042,D1043,D1044,D1045,D1046,D1047,D1048,D1049,D1050,D1051,D1052,D1053,D1054,D1055,D1056,D1057,D1058,D1059,D1060,D1061,D1062,D1063,D1064,D1065,D1066,D1067,D1068,D1069,D1070,D1071,D1072,D1073,D1074,D1075,D1076,D1077,D1078,D1079,D1080,D1081,D1082,D1083,D1084,D1085,D1086,D1087,D1088,D1089,D1090,D1091,D1092,D1093,D1094,D1095,D1096,D1097,D1098,D1099,D1100,D1101,D1102,D1103,D1104,D1105,D1106,D1107,D1108,D1109,D1110,D1111,D1112,D1113,D1114,D1115,D1116,D1200,D1201,D1202,D1203,D1204,D1205,D1206,D1207,D1208,D1209,D1210,D1211,D1212,D1213,D1214,D1215,D1216,D1217,D1218,D1219,D1220,D1221,D1222,D1223,D1224,D1225,D1226,D1227,D1228,D1229,D1230,D1231,D1232,D1233,D1234,D1235,D1236,D1237,D1238,D1239,D1240,D1241,D1242,D1243,D1244,D1245,D1246,D1247,D1248,D1249,D1250,D1251,D1252,D1253,D1254,D1255,D1256,D1257,D1258,D1259,D1260,D1261,D1262,D1263,D1264,D1265,D1266,D1267,D1268,D1269,D1270,D1271,D1272,D1273,D1274,D1275,D1276,D1277,D1278,D1279,D1280,D1281,D1282,D1283,D1284,D1285,D1286,D1287,D1288,D1289,D1290,D1291,D1292,D1293,D1294,D1295,D1296,D1297,D1298,D1299,D1300,D1301,D1302,D1303,D1304,D1305,D1306,D1307,D1308,D1309,D1310,D1311,D1312,D1313,D1314,D1315,D1316,D1317,D1318,D1319,D1320,D1321,D1322,D1323,D1324,D1325,D1326,D1327,D1328,D1329,D1330,D1331,D1332,D1333,D1334,D1335,D1336,D1337,D1338,D1339,D1340,D1341,D1342,D1343,D1344,D1345,D1346,D1347,D1348,D1349,D1350,D1351,D1352,D1353,D1354,D1355,D1356,D1357,D1358,D1359,D1400,D1401,D1402,D1403,D1404,D1405,D1406,D1407,D1408,D1409,D1410,D1411,D1412,D1413,D1414,D1415,D1416,D1417,D1418,D1419,D1420,D1421,D1422,D1423,D1424,D1425,D1426,D1427,D1428,D1429,D1430,D1431,D1432,D1433,D1434,D1435,D1436,D1437,D1438,D1439,D1440,D1441,D1442,D1443,D1444,D1445,D1446,D1447,D1448,D1449,D1450,D1451,D1452,D1453,D1454,D1455,D1456,D1457,D1458,D1459,D1460,D1461,D1462,D1463,D1464,D1465,D1466,D1467,D1468,D1469,D1470,D1471,D1472,D1473,D1474,D1600,D1601,D1602,D1603,D1604,D1605,D1606,D1607,D1608,D1609,D1610,D1611,D1612,D1613,D1614,D1615,D1616,D1617,D1618,D1619,D1620,D1621","1042","XINGLIGHT","XL-1615RGBC-WS2812B-S","XL-1615RGBC-WS2812B-S"
"D2,D4,D5","3","hongjiacheng","MM1W5V6","MM1W5V6"
"D3,D6,D7,D14,D15,D16","6","hongjiacheng","SS33","SS33"
"D9,D13,D17","3","Everlight Elec","19-223/R7G6C-A01/2T","LED_Dual,19-223/R7G6C-A01/2T"
"F1","1","LUTE","1206L200/12NR","Resettable Fuse"
"L1","1","Murata Electronics","LQP03TN2N7B02D","2.7nH"
"L2","1","Murata Electronics","LQP03TG24NH02D","24nH"
"R1,R2,R3,R4,R6,R8,R9,R10,R11,R13,R14,R16,R17,R18,R19,R21,R22,R39,R40,R41","20","UNI-ROYAL(Uniroyal Elec)","0201WMJ0512TEE","5.1kΩ"
"R12,R23,R24,R25,R27,R29,R31,R33,R35,R37","10","UNI-ROYAL(Uniroyal Elec)","0201WMF1003TEE","100kΩ"
"R7,R15,R26,R28,R30,R32,R34,R36","8","UNI-ROYAL(Uniroyal Elec)","0201WMF3300TEE","330Ω"
"S1,S2,S3,S4","4","XKB Connectivity","TS-1187A-B-A-B","Tactile Button, 160gf"
"U1","1","Espressif","ESP32-S3FN8","ESP32-S3"
"U2","1","Richtek Tech","RT9080-33GJ5","RT9080-33GJ5"
"U3","1","Lite-On","LTR-303ALS-01","LTR-303ALS-01"
"U8","1","Texas Instruments","SN74LVC4245APWR","SN74LVC4245APWR"
"U4,U6,U7","3","DEALON","USB-TYPE-C-019","Connector, USB-TYPE-C-16P"
"U5,U9","2","XI'AN Aerosemi Tech","MT9700-N","MT9700-N"
"X2","1","YXC Crystal Oscillators","X322540MPB4SI","40MHz, 15pF"
